Category: All categories

Month,New York: (United States)
2004-01,94
2004-02,91
2004-03,95
2004-04,93
2004-05,95
2004-06,100
2004-07,97
2004-08,98
2004-09,94
2004-10,96
2004-11,93
2004-12,90
2005-01,89
2005-02,89
2005-03,92
2005-04,90
2005-05,89
2005-06,94
2005-07,93
2005-08,90
2005-09,87
2005-10,86
2005-11,87
2005-12,85
2006-01,81
2006-02,80
2006-03,81
2006-04,82
2006-05,80
2006-06,84
2006-07,81
2006-08,81
2006-09,79
2006-10,82
2006-11,78
2006-12,74
2007-01,78
2007-02,74
2007-03,75
2007-04,76
2007-05,72
2007-06,75
2007-07,78
2007-08,74
2007-09,73
2007-10,73
2007-11,73
2007-12,70
2008-01,70
2008-02,72
2008-03,75
2008-04,69
2008-05,68
2008-06,68
2008-07,69
2008-08,68
2008-09,69
2008-10,65
2008-11,64
2008-12,63
2009-01,61
2009-02,62
2009-03,62
2009-04,62
2009-05,59
2009-06,64
2009-07,61
2009-08,61
2009-09,60
2009-10,61
2009-11,60
2009-12,57
2010-01,56
2010-02,54
2010-03,54
2010-04,57
2010-05,57
2010-06,58
2010-07,53
2010-08,51
2010-09,53
2010-10,51
2010-11,51
2010-12,50
2011-01,55
2011-02,51
2011-03,51
2011-04,56
2011-05,56
2011-06,58
2011-07,58
2011-08,62
2011-09,59
2011-10,55
2011-11,49
2011-12,48
2012-01,49
2012-02,47
2012-03,48
2012-04,47
2012-05,46
2012-06,46
2012-07,45
2012-08,46
2012-09,47
2012-10,50
2012-11,45
2012-12,43
2013-01,41
2013-02,40
2013-03,42
2013-04,43
2013-05,43
2013-06,43
2013-07,44
2013-08,42
2013-09,43
2013-10,44
2013-11,41
2013-12,42
2014-01,42
2014-02,40
2014-03,42
2014-04,42
2014-05,40
2014-06,41
2014-07,43
2014-08,40
2014-09,42
2014-10,42
2014-11,42
2014-12,42
2015-01,41
2015-02,39
2015-03,40
2015-04,42
2015-05,42
2015-06,46
2015-07,44
2015-08,44
2015-09,44
2015-10,45
2015-11,42
2015-12,42
2016-01,41
2016-02,39
2016-03,40
2016-04,49
2016-05,40
2016-06,41
2016-07,41
2016-08,41
2016-09,45
2016-10,42
2016-11,44
2016-12,42
2017-01,40
2017-02,39
2017-03,41
2017-04,41
2017-05,42
2017-06,42
2017-07,44
2017-08,43
2017-09,41
2017-10,45
2017-11,43
2017-12,43
2018-01,40
2018-02,38
2018-03,41
2018-04,41
2018-05,40
2018-06,42
2018-07,42
2018-08,41
2018-09,42
2018-10,41
2018-11,40
2018-12,38
2019-01,39
2019-02,37
2019-03,38
2019-04,39
